id,jp_name,en_name,hiragana,katakana,parent_id
386,金山町,kanayamachou,かなやまちょう,カナヤマチョウ,12
387,最上町,mogamimachi,もがみまち,モガミマチ,12
388,舟形町,funagatamachi,ふながたまち,フナガタマチ,12
389,真室川町,mamurogawamachi,まむろがわまち,マムロガワマチ,12
390,大蔵村,ookuramura,おおくらむら,オオクラムラ,12
391,鮭川村,sakegawamura,さけがわむら,サケガワムラ,12
392,戸沢村,tozawamura,とざわむら,トザワムラ,12
393,高畠町,takabatachou,たかばたちょう,タカバタチョウ,12
394,川西町,kawanishichou,かわにしちょう,カワニシチョウ,12
395,小国町,ogunimachi,おぐにまち,オグニマチ,12
396,白鷹町,shiratakamachi,しらたかまち,シラタカマチ,12
397,飯豊町,iidemachi,いいでまち,イイデマチ,12
398,三川町,mikawamachi,みかわまち,ミカワマチ,12
399,庄内町,shounaichou,しょうないちょう,ショウナイチョウ,12
400,遊佐町,yuzamachi,ゆざまち,ユザマチ,12
401,福島市,fukushimashi,ふくしまし,フクシマシ,13
402,会津若松市,aiduwakamatsushi,あいづわかまつし,アイヅワカマツシ,13
403,郡山市,kooriyamashi,こおりやまし,コオリヤマシ,13
404,いわき市,iwakishi,いわきし,イワキシ,13
405,白河市,shirakawashi,しらかわし,シラカワシ,13
406,須賀川市,sukagawashi,すかがわし,スカガワシ,13
407,喜多方市,kitakatashi,きたかたし,キタカタシ,13
408,相馬市,soumashi,そうまし,ソウマシ,13
409,二本松市,nihonmatsushi,にほんまつし,ニホンマツシ,13
410,田村市,tamurashi,たむらし,タムラシ,13
411,南相馬市,minamisoumashi,みなみそうまし,ミナミソウマシ,13
412,伊達市,dateshi,だてし,ダテシ,13
413,本宮市,motomiyashi,もとみやし,モトミヤシ,13
414,桑折町,koorimachi,こおりまち,コオリマチ,13
415,国見町,kunimichou,くにみちょう,クニミチョウ,13
416,川俣町,kawamatachou,かわまたちょう,カワマタチョウ,13
417,大玉村,ootamamura,おおたまむら,オオタマムラ,13
418,鏡石町,kagamiishimachi,かがみいしまち,カガミイシマチ,13
419,天栄村,teneimura,てんえいむら,テンエイムラ,13
420,下郷町,shimogouchou,しもごうちょう,シモゴウチョウ,13
421,檜枝岐村,hinoematamura,ひのえまたむら,ヒノエマタムラ,13
422,只見町,tadamimachi,ただみまち,タダミマチ,13
423,南会津町,minamiaidumachi,みなみあいづまち,ミナミアイヅマチ,13
424,北塩原村,kitashiobaramura,きたしおばらむら,キタシオバラムラ,13
425,西会津町,nishiaidumachi,にしあいづまち,ニシアイヅマチ,13
426,磐梯町,bandaimachi,ばんだいまち,バンダイマチ,13
427,猪苗代町,inawashiromachi,いなわしろまち,イナワシロマチ,13
428,会津坂下町,aidubangemachi,あいづばんげまち,アイヅバンゲマチ,13
429,湯川村,yugawamura,ゆがわむら,ユガワムラ,13
430,柳津町,yanaiduchou,やないづちょう,ヤナイヅチョウ,13
431,三島町,mishimamachi,みしままち,ミシママチ,13
432,金山町,kanayamachou,かなやまちょう,カナヤマチョウ,13
433,昭和村,shouwamura,しょうわむら,ショウワムラ,13
434,会津美里町,aidumisatomachi,あいづみさとまち,アイヅミサトマチ,13
435,西郷村,nishigoumura,にしごうむら,ニシゴウムラ,13
436,泉崎村,izumizakimura,いずみざきむら,イズミザキムラ,13
437,中島村,nakajimamura,なかじまむら,ナカジマムラ,13
